device_id|days
194094245|1#2#4#6#7#8#9#10#11#13#14#16#17#18#20#22#23#24#25#26#27#28#30#31#32#33#37#38#39#42#43#46#47#56#58
194094255|35#38#39#41#42#43#46#47#50#51#52#53#60
194094812|3#12#16#18#34#35#36#40#44#45#50
194095151|4#6#8#9#10#11#12#14#15#16#17#18#19#20#24#25#26#28#29#30#31#32#33#34#35#37#38#39#41#42#43#44#45#46#47#48#60
194095214|1#2#3#7#9#10#13#14#15#18#28#30#31#35#38#52#53#54#56#60
194095231|1#2#5#6#7#8#9#10#13#24#25#26#27#28#39#42#44#47#54#55#57#58
194096458|1#2#3#4#5#6#7#8#9#10#11#12#13#14#15#16#18#19#20#21#22#23#24#25#26#27#28#29#30#32#33#34#35#36#37#38#39#40#41#42#43#44#47#48#49#50#51#52#53#54#55#56#57#58#59
194096675|3#8#33#40#45#47#48#49#51#52#53#55#56#57#58#59#60
194097150|2#3#4#5#6#7#8#9#10#11#12#13#14#17#19#21#23#29#30#31#32#35#36#37#38#39#40#41#43#44#45#46#47#48#49#50#51#53#54#55#57#58#60
194097200|9#10#11#13#16#25#33#34#39#42#43#53#54#55#56#59
194097283|1#2#3#5#6#7#23#25#39#42#49
194097469|20#22#25#27#30#32#33#38#41#42#45
194097638|1#2#13#14#15#25#40#41#51#54
194097669|3#8#9#13#14#15#16#18#26#27#28#29#30#31#32#33#35#36#37#39#40#44#45#46#47#51#52#55#56#57#58#59#60
194098271|1#2#3#6#7#9#10#12#14#16#17#18#19#20#21#23#24#25#26#27#29#30#34#35#36#38#39#40#43#45#46#47#48#49#50#51#52#54#56#57#58#59#60
194099022|11#12#15#16#17#18#20#21#22#32#33#35#36#37#38#39#40#41#42#44#45#47#48#49#50#51#57#59#60
194101373|1#2#3#5#6#7#8#9#10#11#12#13#16#17#19#20#27#28#31#32#33#34#35#36#37#38#42#48#49#51#52#54#56
194102016|11#12#17#18#21#22#27#34#35#39#42#47#48#49#50#51#54#55#56
194102866|1#2#3#4#5#6#8#9#10#11#12#13#14#15#16#17#18#19#20#21#22#23#24#25#26#27#28#29#30#31#32#33#34#35#36#37#38#39#40#41#42#44#45#46#47#48#49#50#51#52#53#54#55#56#57#59#60
194103687|10#11#12#14#17#28#29#32#33#34#35#36#38#40#45#52#56
194104609|1#3#4#6#7#9#10#11#12#13#14#15#16#17#18#19#20#21#22#23#24#25#26#27#28#29#30#31#35#37#44#45#46#52#53#54#55#56#57#58#60
194104665|1#2#3#4#5#6#7#8#9#10#11#12#14#15#16#18#19#20#21#25#26#29#32#34#36#39#44#45#46#47#48#49#50#51#52#53#54#56#57#58#59
194104969|1#7#9#11#12#13#18#20#27#36#40#48#53
194105536|4#5#6#9#26#31#35#37#41#42#46#49#51#52
194106400|3#5#6#7#13#14#16#17#19#21#22#23#24#26#27#30#43#44#46#47#48#54#60
194106423|9#10#16#30#31#37#38#39#40#41#44#47#58
194107893|1#3#4#5#6#7#9#10#11#13#18#21#22#23#24#27#33#34#36#37#38#39#41#42#46#47#50#51#52#53#56#58#59#60
194108683|1#3#6#37#39#42#43#44#45#46#49#51#53#54#58
194108768|1#4#7#12#17#29#31#35#39#41#42#48#52#53#55
194109867|1#3#5#7#10#13#15#16#17#18#19#20#21#22#23#24#25#26#27#29#31#32#33#35#37#39#44#45#46#47#48#49#50#54#55#57#58#59#60
194110772|2#3#5#7#15#24#26#34#40#41#44#45#47#52#53#54#59
194111304|1#3#4#5#8#12#15#16#17#19#37#40#41#49#51#53#54#55#57#58#59
194111779|2#11#12#13#36#37#49#50#51#60
194112633|1#2#3#6#9#10#11#12#15#17#19#25#31#32#35#36#41#50#51#52#60
194113726|2#3#4#8#10#12#13#14#17#18#21#28#40#51#53#54
194114273|1#2#3#6#8#9#14#15#19#23#27#31#36#37#38#41#44#49#52#55#56#57#58#60
194114732|6#7#8#10#12#17#26#28#30#36#38#40#46#54#55
194118393|2#3#4#5#7#9#12#18#19#20#21#22#25#32#33#35#36#38#49#56#57#58
194121303|1#3#13#16#17#18#22#25#26#29#38#47#53#55#56
194121585|18#22#23#24#25#26#27#30#31#33#35#36#38#39#40#41#42#43#44#46#47#49#50#51#52#53#54#55#56#57#58#59#60
194122383|2#3#4#5#6#7#8#9#11#12#13#14#15#18#19#20#21#26#27#28#29#30#32#33#34#35#36#38#39#40#41#42#44#45#47#49#50#51#52#53#54#55#57#58#60
194123884|6#7#8#9#10#11#16#28#29#31#32#33#34#37#38#39#44#46#47#48#49#51#52#53#55#56
194123986|21#23#25#26#29#32#36#39#41#45#46#48#50#54#57
194124119|6#9#22#26#32#43#44#46#47#53#60
194124527|2#7#23#24#27#28#29#32#33#34#35#36#37#38#40#43#48#49#50#51#52#56#57#59#60
194124695|1#2#3#4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19#20#21#22#23#24#25#26#27#28#29#30#33#34#35#36#37#38#42#43#44#45#46#47#48#50#51#52#53#54#55#56#57#58#59#60
194124978|31#32#34#35#36#38#45#46#57#59
194125250|2#6#11#13#14#15#16#18#20#21#30#32#56
194126988|2#3#4#5#12#13#14#15#16#20#21#24#26#31#32#36#45
194129764|1#5#6#7#8#11#12#13#14#15#16#17#18#19#20#21#22#23#25#26#27#29#30#31#32#34#35#36#37#38#40#42#45#46#48#49#50#52#54#57#58
194129833|1#2#3#4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#21#22#23#24#36#51
194130015|1#2#5#6#7#9#10#11#13#14#15#16#17#18#20#21#22#24#25#28#29#30#31#32#33#34#35#36#37#38#39#40#41#42#43#44#45#46#47#48#49#50#51#52#53#54#55#56#57#58#59#60
194131650|1#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19#20#21#23#24#25#26#27#28#29#30#31#40#41#42#44#46#47#53#54
194132093|1#2#3#7#8#10#11#12#13#14#20#25#30#31#32#35#36#39#41#43#45#46#54#58#59
194132101|4#7#8#10#21#22#23#31#34#39
194132377|1#2#3#4#5#6#8#9#11#12#13#14#15#16#17#18#19#20#25#26#27#28#29#31#32#33#34#36#37#38#39#40#41#42#43#44#45#46#47#48#49#50#52#53#54#55#56#58
194132574|14#15#17#20#22#23#24#33#34#41#46#50#57
194133199|3#4#5#7#8#9#10#12#13#14#16#17#18#19#20#21#22#24#25#26#27#30#34#37#38#39#41#42#43#44#45#46#47#48#49#52#53#54#55#60
194133772|1#2#3#4#8#9#10#15#16#17#19#20#21#22#23#24#26#27#28#29#30#31#32#33#34#35#36#37#38#39#40#41#42#46#47#48#49#56#57#59
194134043|1#3#4#5#6#7#9#10#11#12#14#15#17#18#19#21#25#27#29#31#33#35#37#38#39#40#41#42#44#46#47#48#50#55#57#58
194135132|3#4#8#13#24#25#26#28#30#37#38#41#46#52#54#58#59#60
194136299|2#11#12#16#25#26#28#31#35#36#37#38#39#41#42#44#46#51#54#57#59#60
194136350|1#2#3#4#5#7#8#10#17#18#29#30#32#33#54#55#56#59
194136570|3#4#5#6#14#18#19#20#22#30#33#35#36#45#48
194138610|6#7#8#9#14#16#17#18#20#21#23#33#46#48#49#51
194139188|4#11#12#13#14#16#17#18#19#20#21#24#25#26#28#29#36#45
194139242|2#4#11#12#15#18#21#41#47#48#54#55#58#59#60
194140088|9#13#21#26#30#36#38#43#44#45#46#47#48#49#50#53#55#57#59
194140402|1#3#4#5#10#11#12#26#27#28#29#31#32#33#36#37#38#39#41#42#43#44#45#46#47#48#49#50#51#52#54#55#57#60
194140571|1#2#3#4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19#20#21#22#23#24#25#26#27#28#29#30#31#32#33#34#35#36#37#38#40#41#42#43#44#45#46#47#48#49#50#51#52#53#54#55#56#57#58#59#60
194140617|15#16#17#18#20#24#25#26#28#31#33#35#36#37#39#41#45#47#48#49#50#51#52#53#54#55#57#59
194141192|1#2#3#9#10#11#14#16#17#18#19#20#21#22#23#24#25#26#27#28#29#30#31#33#34#35#36#38#40#41#42#44#45#46#48#49#50#51#52#54#56#57#58#60
194141352|5#9#10#15#17#18#24#36#41#42#49#50#52#53#54#56#57#58
194141404|1#3#4#5#8#9#11#14#17#20#21#22#23#26#27#36#40#41#44#52#53#57#58
194143380|16#17#23#24#26#27#28#36#37#39#44#46#47#52#56#58
194143658|1#3#10#12#13#14#15#16#17#18#19#20#22#23#24#26#27#28#30#32#34#35#38#39#42#43#48#49#50#51#53#54#55#57#58#59
194143825|8#25#30#32#35#37#38#44#45#50#53#54#55#56#57#59#60
194144297|12#13#15#27#33#36#39#40#41#42#43#44#45#46#47#48#49#51#52#53#54#55#56#57#58#59#60
194144726|23#28#29#33#36#43#44#46#48#52#53#58#59#60
194144936|4#14#15#20#36#43#47#48#49#50#58
194146578|21#25#28#29#31#32#33#36#37#38#39#43#44#46#47#48#49#50#54#57#58#59#60
194146815|20#22#23#30#33#34#35#36#37#40#42
194147582|5#6#9#11#15#22#23#26#28#30#31#32#38#42#46#47#48#49#55#59#60
194148166|5#8#9#11#13#15#17#21#22#23#26#29#31#32#33#37#39#40#41#44#46#48#50#55#56#57#58#59
194148705|1#3#4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19#20#21#22#23#24#25#26#27#28#29#30#31#32#33#34#35#36#37#39#40#41#43#48#49#50#51#52#54#55#58
194148795|1#2#3#7#9#10#11#14#15#21#24#28#30#35#38#39#40#43#45#46#47#48#50#52#54#59
194149545|1#2#3#7#16#18#19#22#24#31#32#33#34#35#36#37#38#39#40#41#42#47#49#50#53#57#59#60
194149654|3#18#21#25#30#36#37#39#40#42#43#44#45#49#50#51#58#59#60
194150206|2#3#4#5#6#7#8#10#11#12#13#14#15#16#17#18#19#21#23#24#26#27#28#29#30#31#32#33#34#35#38#40#42#43#44#45#46#47#48#50#51#53#54#55#57#58#59#60
194150591|18#19#21#28#29#30#32#34#37#39#42#47#48#52#54#60
194150812|1#2#10#15#19#20#23#25#26#43#52#53
194151022|1#5#6#7#8#11#12#14#15#16#17#24#26#34#42#50#57
194151257|3#4#6#12#13#14#15#16#17#18#19#20#21#22#23#24#25#26#27#28#29#33#34#35#36#37#38#39#41#42#43#44#45#46#47#48#49#50#52#53#54#55#56#57#58#60
194153443|2#3#18#19#20#35#38#39#44#47#48#51#59
194154391|3#4#5#6#7#8#10#12#15#16#17#19#21#22#24#25#26#29#32#34#35#40#41#42#43#48#49#50#51#59
194154509|1#2#3#5#20#26#27#30#35#45#46#47#49#51
194155275|8#22#23#25#32#34#35#36#37#41#47#48#54#55#56#58#59
194155485|3#4#6#7#11#12#18#19#21#49#50#51#52
194155588|1#2#3#6#8#10#16#18#20#21#22#23#25#29#32#34#37#38#39#40#44#47#51#52#58
194156847|5#7#8#9#12#13#15#17#18#19#21#23#34#37#39
194157177|2#7#8#9#10#11#12#30#31#33#36#43#47#52
194157566|5#6#8#9#13#14#15#18#19#20#21#22#23#28#31#35#36#46#47#50#54#55#56#57#58#59
194159437|2#3#5#8#17#29#30#37#40#43#44#51#60
194159489|1#2#3#4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19#20#21#22#23#24#25#26#27#28#29#30#31#32#33#34#35#36#37#38#39#40#41#42#43#44#45#46#47#48#49#50#51#52#53#54#55#56#57#58#59#60
194160166|5#9#10#12#14#15#16#17#21#32#41#44#46#51#55#58#60
194160485|1#4#5#6#9#12#15#18#20#23#50
194161772|2#7#8#9#10#11#13#14#16#20#21#22#24#29#33#34#35#36#37#38#40#41#42#47#49#51#54#55#56#58#59#60
194162742|3#13#14#15#16#17#28#30#31#42#43#44
194162860|17#22#25#26#27#39#54#57#59#60
194164453|1#2#3#6#8#12#15#16#18#21#22#24#26#29#30#31#37#39#41#42#43#45#50#51#58
194164470|1#2#3#4#5#6#7#10#11#13#14#15#16#19#23#24#25#26#27#28#31#32#33#34#35#36#38#39#40#41#44#45#46#47#48#51#53#54#59#60
194164479|9#20#21#23#39#40#44#47#48#49#50
194165528|16#17#18#20#27#28#40#41#42#54#59
194165640|1#17#38#42#43#47#49#50#51#52#53#54#55#56#57#59#60
194167631|1#7#8#11#13#18#23#30#31#35#38#41#43#44#45#47#48#49#53#54#56#57#59
194168251|1#2#3#18#19#31#34#36#37#39#45#60
194168955|23#24#28#34#36#40#41#42#44#46#48#50#51#53#58#59#60
194168976|1#2#3#4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19#20#21#22#23#24#25#26#27#28#29#30#31#32#34#35#36#37#38#39#40#41#42#43#44#45#46#47#48#49#50#51#52#53#54#55#56#57#58#59#60
194169260|1#5#7#11#13#16#18#22#23#29#36#39#40#41#42#44#45#46#47#48#51#53#55#56#58#59
194169810|2#4#5#17#18#21#22#26#36#40#41#46#50#59#60
194169957|4#5#11#14#15#19#20#21#27#30#40#41#42#45#46#47#48#49#50#51#52#53#54#56#57#58#60
194170895|2#4#5#6#7#8#9#10#11#12#13#14#15#16#17#19#21#22#24#25#26#28#29#30#32#33#34#35#36#37#39#41#42#43#44#46#47#48#49#51#53#55#56#59#60
194171444|3#4#10#11#13#14#15#16#18#19#20#21#22#23#24#25#26#27#28#29#33#34#35#38#40#41#44#45#46#47#50#51#52#53#55#56#57#59#60
194171815|2#12#16#17#23#27#35#37#42#43
194171848|7#8#14#19#31#37#38#39#49#52
194173350|1#2#3#4#5#6#7#8#9#11#12#13#14#15#16#17#18#19#20#21#22#25#26#27#28#29#31#33#35#36#37#38#39#40#41#44#45#46#49#50#51#52#54#55#56#58#59#60
194173402|1#10#11#12#13#14#15#16#17#18#19#20#21#22#24#25#26#27#28#29#30#31#32#33#34#36#37#38#39#40#41#42#43#44#45#46#48#49#51#52#53#55#56#57#59#60
194173741|4#5#8#12#17#23#29#31#36#37#38#40#41#42#43#44#45#51#56
194174536|1#2#3#4#5#7#9#10#11#13#14#16#17#18#23#25#30#31#34#35#41#46#51#52#57#58
194175645|8#9#11#12#13#15#22#24#25#29#38#44#51#53#55#56#57#58
194176002|1#2#3#4#5#6#10#11#12#13#14#15#16#18#19#20#21#22#23#24#25#26#27#28#29#30#31#32#33#34#35#36#37#38#39#40#41#42#43#44#45#46#47#49#50#51#52#53#54#55#56#57#58#59
194176360|19#20#21#22#23#24#25#27#28#29#30#31#33#34#35#46#47#48#50#52#53#54#55#56#57#58#59#60
194177209|2#33#34#35#38#40#41#42#45#52#54#55#56#57#58#59
194177381|2#3#4#5#8#9#13#14#15#16#17#18#19#20#21#22#23#24#25#26#27#28#29#30#31#32#33#36#37#39#40#41#46#47#49#50#51
194177779|3#4#5#10#13#23#31#37#38#46#47#52#53#54#55#56#57#58#59
194178177|10#11#25#26#29#30#33#34#39#40#41#43#44#52#56#57
194180372|9#11#13#14#15#16#17#19#22#23#25#29#35#59#60
194180472|2#3#6#7#8#9#11#12#14#17#18#19#20#21#22#23#26#29#30#31#32#33#34#36#49#50#51#52#54#55#57#58#60
194180617|9#10#11#18#20#21#31#35#37#39#40#42#48#52#53
194180756|1#4#5#6#7#11#12#13#14#15#18#19#20#21#22#23#24#25#26#27#28#29#30#32#33#35#36#37#38#39#40#49#50#51#55#56#57#58#59#60
194182448|2#3#4#7#8#12#20#21#22#23#24#26#28#30#32#33#35#36#38#41#42#44#45#47#49#52#53#56#57#60
194182554|1#2#3#4#5#6#7#8#9#11#12#13#14#15#21#25#26#27#28#30#31#53#60
194183236|2#3#4#5#6#7#11#12#13#24#25#31#32#51#52#54#55
194183265|1#2#3#5#6#8#9#10#12#13#14#19#22#23#31#32
194183947|1#3#8#22#30#33#37#40#43#44#51#60
194183956|6#9#14#17#18#19#34#35#38#48#49#51#52
194184157|1#2#3#4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19#21#22#23#24#25#26#27#28#29#30#31#33#35#36#37#38#39#40#41#42#43#44#45#46#47#48#50#52#54#55#56#57#58#59#60
194184451|29#30#31#32#33#34#37#38#39#40#50#52#53#54#57#59
194185684|2#5#6#12#13#14#15#16#17#18#19#20#21#22#23#24#25#26#27#28#29#30#32#34#35#36#39#40#41#42#43#44#45#49#53#56#57#58#59#60
194187996|17#18#19#20#28#30#47#51#52#53#56#57
194188175|12#13#19#21#22#23#24#27#28#29#30#33#34#35#36#37#38#47#51#52
194189417|3#9#16#17#18#21#24#25#27#28#42#43#56#57#58#60
194189668|1#2#3#4#5#6#8#9#10#11#12#13#14#15#16#17#19#21#24#26#27#30#31#35#36#37#38#39#42#43#44#45#46#49#50#51#52#53#57#59#60
194189680|5#12#13#14#15#16#18#19#22#24#25#26#27#28#29#30#31#32#33#36#38#39#41#42#43#44#45#46#47#48#49#50#51#52#53#54#55#56#57#58#60
194189763|15#24#32#38#50#53#54#55#56#57#58#59#60
194189819|3#4#5#6#7#8#9#11#12#13#14#15#17#18#19#24#26#29#30#32#38#40#41#42#43#44#51#53#54#55#56#57#60
194191307|5#9#10#11#16#20#21#22#39#40#43#44#46#60
194191477|46#47#48#50#51#53#54#56#57#59#60
194191617|16#17#18#19#21#22#23#28#38#39#40
194191713|2#4#6#7#8#12#13#25#26#27#29#33#47#48#50#51
194191812|6#7#15#16#24#25#41#48#59#60
194193316|1#4#6#7#9#12#13#18#19#20#21#22#25#26#29#33#35#36#37#38#42#43#44#45#46#47#48#49#50#51#52#54#55#56#58#59#60
194193375|2#11#12#13#15#20#21#23#25#27#28#29#30#33#34#43#52#57#58#59
194195505|1#4#13#16#18#26#33#34#36#38#40#52#59
194195703|23#25#27#28#31#42#43#47#48#55#58
194196879|1#2#3#5#6#7#8#9#10#13#15#16#17#20#22#27#28#29#30#31#35#37#41#42#45#57#58#60
194197415|1#3#8#10#11#13#14#15#17#18#19#20#22#27#29#30#31#33#34#35#36#37#38#40#41#42#43#46#47#48#49#50#51#52#55#56#57#59#60
194197507|12#15#16#19#21#27#31#33#35#36#37#38#39#40#43#44#45#46#59
194198277|1#2#3#4#5#6#7#8#9#10#11#12#13#14#15#16#17#19#20#21#22#23#24#25#26#27#28#29#31#32#34#35#37#38#39#40#41#42#44#45#46#49#50#51#52#53#54#55#56#57#58#59
194198514|23#24#25#26#27#28#30#31#32#36#38#42#44#52#53#54#55#56
194198970|1#5#10#11#21#24#42#43#44#45#46#47#54#56#57#58
194199348|4#6#7#10#13#16#19#21#22#23#28#37#45#46#47#51#56#57#58#59
194199366|1#7#16#17#18#19#20#27#29#30#31#32#33#39#46#47#48#55#57
194199384|4#16#19#21#22#24#28#29#34#35#37#38#39#49#50#51#52#53#54#57
194200389|1#3#4#10#16#17#19#20#21#23#25#32#34#35#36#37#39#43#44#49#50#51#54
194201403|2#3#4#5#6#7#8#9#10#11#12#13#14#16#17#18#21#23#24#25#26#27#28#30#31#32#33#34#36#37#38#39#41#46#51#53#56#57#58#59#60
194201949|1#2#3#4#5#6#7#8#10#11#12#13#14#15#18#19#20#21#22#23#27#30#49#50#53#54#55#56#58#60
194202517|11#19#35#36#43#45#50#51#52#53#54#55#56#58#59#60
194203946|25#26#27#28#30#32#36#37#38#40#41#48#49#52#53#56#58#60
194204621|21#22#28#29#30#39#42#49#52#55#58
194209735|1#3#4#5#6#7#8#10#11#12#14#15#16#17#19#20#21#22#23#24#25#26#27#29#31#32#33#35#38#39#40#42#44#46#53#55#56
194211541|1#2#3#5#6#7#8#9#10#13#15#17#18#19#40#42#45#54#56#58#60
