device_id|gender|age|device|city|is_vip|topics
194091846|0|2|536|318|NULL|
200004319|0|3|206|164|NULL|
199899641|1|4|223|223|NULL|
199309731|1|3|536|245|NULL|
199165385|0|2|309|297|NULL|
199096183|0|1|181|220|NULL|
199063008|1|3|40|135|NULL|
198826882|1|2|30|69|NULL|
198692923|0|2|426|49|NULL|
198090616|0|1|292|161|0|
198063590|0|2|299|147|NULL|
198014819|0|4|306|35|NULL|
197915200|0|3|172|102|NULL|
197685051|0|NULL|176|1|NULL|
197402045|0|4|225|99|NULL|
197313788|1|4|304|334|NULL|
197283603|0|2|224|96|0|
196950053|1|3|460|254|NULL|
196569889|1|0|303|79|1|
196515383|0|4|230|47|NULL|
196384547|1|4|172|297|NULL|
196264025|1|2|530|156|NULL|
196112538|1|4|534|312|NULL|
195571876|1|2|172|136|NULL|
195530158|1|1|214|294|0|
195302391|1|3|530|204|NULL|
194619330|1|3|230|136|NULL|
194468006|1|1|214|59|NULL|
199733245|1|2|514|205|0|
199522716|0|4|8|166|NULL|
198950725|0|NULL|215|205|NULL|
198717926|0|4|18|107|NULL|
198237827|0|0|16|284|NULL|
198086086|0|4|511|84|NULL|
198053497|0|4|301|312|0|
197400006|1|3|298|75|1|
197212108|1|1|458|203|NULL|
196810312|0|1|285|38|NULL|
196369877|0|3|295|176|NULL|
196213129|0|NULL|306|103|1|
195564877|0|3|230|196|NULL|
195388137|0|NULL|311|205|NULL|
194357913|1|3|167|334|NULL|
194047143|1|4|544|146|NULL|
200021034|0|1|458|225|1|
200008476|0|NULL|18|205|NULL|
199854126|0|3|35|36|NULL|
199798486|0|2|224|327|NULL|
199754210|1|3|39|211|NULL|
199666445|1|3|253|201|NULL|
199247258|0|3|229|259|NULL|
198760832|1|3|228|205|NULL|
198604721|0|4|25|332|NULL|
198424562|0|2|424|96|NULL|
198401057|1|2|230|223|NULL|
197114412|1|2|172|218|0|
196931753|0|3|228|315|NULL|
196551675|1|0|39|47|NULL|
196499226|0|4|184|326|NULL|
196252179|0|3|167|74|0|
195824403|0|1|293|279|NULL|
194730779|1|2|16|177|NULL|
194328002|0|3|298|224|NULL|
194169810|0|1|39|71|NULL|
200011997|1|1|224|47|0|
199983078|0|3|285|256|NULL|
199460434|1|NULL|513|223|NULL|
199434648|1|1|224|155|NULL|
198761356|1|2|215|74|NULL|
198675700|0|2|224|204|NULL|
198464269|0|3|505|206|NULL|
198035593|1|NULL|24|64|NULL|
197795903|0|4|202|119|NULL|
197754727|1|1|230|188|0|
197421371|0|0|42|237|NULL|
197160281|0|4|465|254|NULL|
197073870|0|1|167|283|NULL|
196978968|1|4|176|136|0|
196615534|1|4|204|156|NULL|
196445787|1|2|226|288|NULL|
195471511|1|3|174|160|NULL|
195229865|0|3|551|286|NULL|
195130344|0|4|210|74|NULL|
194979598|1|3|492|203|NULL|
194394005|1|4|505|149|NULL|
194175645|1|0|458|137|1|
194124695|0|3|418|118|NULL|
200043479|0|1|8|95|NULL|
199789833|0|4|24|295|NULL|
199760651|0|3|509|77|NULL|
199226405|0|2|167|37|NULL|
198311695|0|2|311|226|NULL|
198272541|1|1|217|183|NULL|
198130475|0|3|505|217|NULL|
198044330|0|4|31|204|NULL|
198022454|0|2|492|136|NULL|
198019794|0|4|483|35|NULL|
197792990|0|3|458|39|1|
197785292|1|0|176|297|0|
197784576|1|3|530|169|NULL|
197520998|0|4|18|333|NULL|
197479953|1|2|509|95|0|
196533098|1|2|172|71|1|
196498605|0|2|210|167|NULL|
196466614|0|1|471|334|NULL|
196216368|0|1|551|116|NULL|
196120832|0|4|544|218|NULL|
195927865|1|3|210|168|NULL|
195823900|0|1|541|194|NULL|
195485598|0|2|417|10|NULL|
195338424|0|3|30|127|NULL|
195130802|1|4|39|156|0|
194948017|0|3|29|76|NULL|
194546269|1|1|178|326|NULL|
194365363|0|2|544|63|NULL|
194156847|0|4|32|166|NULL|
194132101|1|2|458|229|NULL|
200148559|0|1|477|160|0|
199616652|0|4|224|276|1|鞠婧祎
199568695|1|3|186|253|NULL|
199296559|1|NULL|178|297|NULL|
199084441|0|4|514|89|NULL|
198954022|0|1|210|332|NULL|
198931236|0|4|220|223|NULL|
198784910|0|3|178|265|NULL|
198534790|0|4|210|34|NULL|
198465374|1|1|306|210|NULL|
197137295|1|3|39|4|NULL|
196905335|1|1|551|268|1|
196337585|1|4|509|136|NULL|
195852864|0|2|186|316|NULL|
195612332|0|4|292|286|NULL|
195051300|1|3|551|63|NULL|
195009293|0|3|285|327|NULL|
194982861|0|4|215|91|NULL|
194266720|0|1|419|214|NULL|
199910524|1|1|24|34|NULL|
199366257|0|1|430|17|NULL|
199062742|0|4|43|110|0|
198724968|0|NULL|417|205|NULL|
198570458|1|2|39|151|NULL|
197831176|1|NULL|231|334|NULL|
197779009|0|4|536|297|NULL|
197598263|1|3|509|148|NULL|
196914962|0|NULL|29|205|NULL|
196749645|1|1|542|96|NULL|
196360643|1|1|174|172|NULL|
196162442|1|1|34|156|NULL|
195952172|1|NULL|43|91|NULL|
194758059|0|3|184|206|NULL|
194550743|0|3|541|254|NULL|
194441001|0|4|223|245|NULL|
194371812|0|NULL|505|334|NULL|
200110102|0|1|219|120|1|
199389374|0|4|286|124|NULL|
199329729|0|2|421|146|NULL|
198450058|1|3|210|319|NULL|
197733507|0|3|176|253|0|
195370626|1|NULL|425|118|NULL|
194985236|0|4|302|47|NULL|
199729240|0|NULL|29|140|NULL|
199402169|0|3|514|239|NULL|
199163230|0|3|18|51|0|
198905760|1|3|514|136|NULL|
198828229|1|4|224|65|NULL|
198378325|0|2|226|257|NULL|
198274484|0|1|176|269|NULL|
198195109|0|3|311|122|NULL|
197570145|0|4|473|332|NULL|
197442967|0|4|311|103|NULL|
196948579|1|4|421|74|NULL|
196945384|1|3|215|129|NULL|
196254714|0|NULL|511|283|NULL|
196079871|1|0|24|96|NULL|
195683961|1|4|296|223|NULL|
195398386|0|4|210|70|NULL|
195330339|0|4|230|47|NULL|
194993308|1|4|292|275|NULL|
194560478|1|2|224|199|NULL|
194154509|0|3|295|147|NULL|
199999284|0|3|298|152|NULL|
199646172|1|2|474|57|NULL|
199602847|0|4|514|319|0|
199417245|1|1|55|132|NULL|
198961530|0|NULL|172|142|1|
198137169|1|NULL|25|85|NULL|
198118953|1|4|215|134|NULL|
198061129|0|4|517|312|NULL|
197431883|0|4|530|297|NULL|
196904225|1|2|530|211|0|
196857268|1|2|224|52|1|
195360112|1|4|176|334|NULL|
195277705|0|2|505|307|NULL|
195257841|0|4|421|95|NULL|
195031863|0|4|39|115|0|
194839991|0|1|549|251|NULL|
194478821|1|3|215|74|NULL|
194140402|0|NULL|25|297|NULL|
200013743|1|NULL|219|319|NULL|
199816851|1|2|306|147|NULL|
199683085|0|3|227|74|1|
199679715|0|NULL|311|102|NULL|
199430467|0|2|172|91|NULL|
198820978|1|2|218|103|NULL|
197798755|0|1|31|326|NULL|
197648241|1|2|309|103|NULL|
197620914|0|4|295|283|NULL|
196803926|0|3|306|164|1|
196652607|0|3|303|257|NULL|
195845755|0|4|505|88|NULL|
195185882|1|3|505|292|NULL|
194792191|0|4|298|80|NULL|
194534546|0|3|27|74|NULL|
194496749|0|2|220|35|0|
194392507|1|1|458|245|NULL|
194134043|1|1|505|105|NULL|周杰伦
194124527|1|2|514|47|0|
194055127|1|3|214|123|NULL|
200145862|0|3|226|265|NULL|
200138258|0|4|306|35|NULL|
200112881|0|4|295|334|NULL|
199809843|1|2|542|214|NULL|
198802183|0|3|229|299|NULL|
198783973|1|2|40|173|NULL|
198394765|0|2|25|304|NULL|
198361807|0|2|541|15|NULL|
198064614|0|4|24|205|0|
197916804|1|4|176|160|NULL|
197902177|0|3|229|326|NULL|
197868943|1|1|298|291|NULL|
197719792|0|2|29|170|0|
197626871|1|4|174|47|NULL|
197477872|0|NULL|294|219|0|
197457847|1|1|214|297|NULL|
196668185|1|3|542|164|NULL|
196462245|1|2|298|96|0|
196392009|0|1|26|241|NULL|
195474754|1|3|474|297|NULL|
195301355|0|4|419|73|NULL|
195117813|0|2|167|226|NULL|
195015567|1|2|42|288|NULL|
194849813|0|4|505|315|NULL|
194538092|0|2|530|265|NULL|
199974274|1|4|505|296|NULL|
199960289|0|2|167|132|NULL|
199614379|0|2|176|97|NULL|
199579508|1|2|43|332|NULL|
199484136|0|4|29|292|NULL|
199010553|0|3|228|74|NULL|
198949539|0|3|309|137|NULL|
198566895|0|4|306|197|NULL|
198423915|0|3|217|178|NULL|
197992546|0|3|217|56|NULL|
197935373|1|1|32|277|NULL|
197526815|0|2|174|105|NULL|
197319076|1|1|534|147|NULL|
197135580|1|2|534|180|NULL|
196370378|0|3|176|241|NULL|
194417176|0|2|505|122|NULL|
194301450|0|3|296|170|1|
199890439|0|1|172|15|0|
199347768|0|3|295|87|NULL|
199288283|0|3|298|34|NULL|
198402181|0|1|458|43|NULL|
197862611|0|4|482|156|NULL|
197682187|0|4|10|201|NULL|
197267718|0|1|418|274|NULL|
196711362|1|3|513|7|NULL|
195987632|0|4|215|89|NULL|
195734865|0|NULL|481|241|NULL|
195601562|1|2|298|248|NULL|
195587559|0|1|215|46|NULL|
195544661|1|4|42|332|NULL|
195506262|1|2|542|294|NULL|
195043811|1|1|227|68|NULL|
194378400|1|4|505|297|NULL|
194296353|0|4|295|34|NULL|
199894001|0|NULL|24|73|NULL|
199545248|0|NULL|172|129|NULL|
199540051|0|4|422|96|NULL|
199437177|0|2|418|283|NULL|
199106191|0|1|292|136|NULL|
198626018|0|3|298|74|NULL|
198440521|0|4|530|47|NULL|
198347254|1|3|303|51|NULL|
197524580|0|4|223|17|NULL|
197320308|0|NULL|11|248|NULL|
197116046|1|2|35|62|NULL|
197103459|0|3|422|265|NULL|
196602058|0|3|482|84|NULL|
196421753|1|2|549|227|NULL|肖战
196281516|0|NULL|210|51|NULL|鞠婧祎
196157237|0|3|172|177|NULL|
195798457|0|0|549|85|NULL|
195691438|0|3|298|204|NULL|
195682133|1|2|224|248|1|
195287787|1|2|514|110|NULL|
195226163|0|NULL|29|10|NULL|
195100195|1|1|210|62|NULL|
194911415|0|4|32|166|NULL|
194441227|0|3|223|102|NULL|
194130015|1|3|544|334|NULL|
199543298|0|4|218|194|NULL|
199357798|1|3|311|10|NULL|
198813363|1|2|210|42|NULL|
198370638|1|2|530|140|NULL|
198322710|0|3|512|91|NULL|
198230126|0|4|215|56|NULL|
197651091|0|3|311|297|NULL|
197507568|0|2|215|63|NULL|
196934474|1|2|176|254|NULL|
196819380|0|NULL|292|297|NULL|
196746236|0|3|41|303|NULL|
196569227|0|3|286|180|NULL|
196383764|1|1|43|255|NULL|
196148080|0|3|303|334|NULL|
195945713|1|2|551|203|NULL|
195571270|0|3|544|164|NULL|
195388380|0|1|311|292|NULL|
195200658|0|1|215|292|NULL|
195010119|1|2|551|74|NULL|
194735912|0|2|214|248|NULL|
194148795|0|3|299|283|NULL|
200125084|1|2|505|277|NULL|
200101260|0|4|458|47|NULL|
199958838|0|NULL|538|59|NULL|
199779457|0|1|425|180|0|
199539755|0|4|31|151|NULL|
198915260|1|1|43|281|NULL|
198628829|0|3|181|91|NULL|
198280797|0|3|513|67|NULL|
197527406|1|0|433|223|NULL|
197008685|1|2|210|171|NULL|
196998264|0|1|176|312|NULL|
196471142|0|3|328|91|NULL|
196339715|0|4|215|105|0|
195993571|0|3|301|334|NULL|
195985703|1|1|471|288|NULL|
195866887|0|2|544|223|NULL|
195566362|0|3|471|129|NULL|
194913228|0|NULL|299|136|NULL|
194828803|0|NULL|157|78|NULL|
194694008|1|1|299|177|NULL|
200007572|0|NULL|152|177|NULL|
199680943|1|1|505|186|NULL|
199398826|1|3|42|281|NULL|
198269442|1|3|11|191|NULL|
197902709|0|3|39|164|NULL|
197834901|0|3|520|270|NULL|
197463843|0|NULL|208|236|NULL|
196816882|1|1|224|60|1|
196709876|1|3|530|91|NULL|
196489592|0|1|41|294|NULL|
196466636|1|4|539|52|NULL|
195912848|0|2|417|283|NULL|
195851789|0|2|227|124|NULL|
195596277|0|4|509|297|NULL|
195499860|1|4|219|76|NULL|
195061540|0|3|214|146|NULL|
195020574|1|2|225|220|NULL|
194953082|0|1|215|183|NULL|
194839977|0|NULL|542|177|NULL|
194824120|0|4|295|47|NULL|
194783456|1|3|514|124|NULL|
194451604|1|3|231|80|NULL|
199851100|1|2|542|137|NULL|
199151674|0|2|299|136|1|
199035373|1|NULL|224|229|NULL|
198771185|0|3|549|128|NULL|
198583357|0|NULL|505|124|0|
198093772|1|0|43|36|NULL|
198084183|0|2|534|99|NULL|
198081729|0|3|18|197|NULL|
197766247|1|3|298|203|NULL|
197498310|0|2|530|85|NULL|
196644454|0|4|228|223|NULL|
196114318|0|NULL|423|220|NULL|
195614045|1|2|530|15|NULL|
195444727|0|2|482|205|NULL|
194520084|0|NULL|31|205|NULL|
194065896|0|3|295|265|NULL|
199785778|1|3|477|91|NULL|
199756820|0|3|224|170|1|
199511851|0|2|172|205|NULL|
199308498|1|3|301|47|NULL|
198679759|1|3|172|242|NULL|
198618821|0|NULL|172|297|NULL|
198462249|0|4|542|138|NULL|
198234204|1|2|176|164|0|
198090418|0|3|41|334|NULL|
198005530|0|NULL|215|37|NULL|
198002721|0|1|215|334|NULL|
197891155|0|2|505|332|NULL|
197721052|0|2|215|136|NULL|
196839250|1|3|215|156|NULL|
196683898|0|NULL|18|310|NULL|
196579559|1|0|448|54|NULL|
196113744|0|2|222|101|NULL|
196039338|0|4|24|292|NULL|
195050635|0|2|505|191|1|
195001173|0|NULL|43|93|NULL|
194942818|0|4|425|324|NULL|
194644906|1|4|539|334|NULL|
194455588|0|3|471|151|NULL|
194388871|0|1|31|133|NULL|
194325361|0|4|25|310|NULL|
194084742|0|NULL|39|224|NULL|
199949370|0|2|425|283|1|
199937864|0|4|228|290|NULL|
199634293|0|2|218|137|NULL|
199632084|1|4|215|334|1|
199525730|0|1|24|148|1|
199255198|1|2|218|134|NULL|
199240496|0|3|39|96|NULL|
199109620|0|3|19|284|NULL|
199050718|0|0|421|245|NULL|
198983832|0|NULL|31|59|NULL|
198943786|1|2|224|196|NULL|
198783638|0|2|42|172|NULL|
197427069|0|4|482|136|NULL|
196743353|1|2|285|54|NULL|
196634597|1|4|176|329|NULL|
196367761|1|2|303|146|NULL|
196341162|0|3|214|31|NULL|
196184009|0|4|306|46|NULL|
195919789|0|4|176|172|NULL|
195538279|0|3|295|47|NULL|
194855089|0|3|222|283|NULL|
194666579|1|3|226|169|NULL|
194050203|0|4|172|50|NULL|
200097220|1|2|294|125|0|
199805694|1|3|181|326|NULL|
199700331|0|3|176|97|0|
199562001|1|3|215|190|NULL|
199069265|0|1|40|234|NULL|
199026208|0|4|176|253|NULL|
198994474|0|4|474|204|0|
198513296|0|2|421|273|NULL|
197915969|0|4|40|136|NULL|
197826833|0|2|224|334|1|
197629514|0|3|24|169|NULL|
197388298|1|3|174|19|1|
197303112|0|4|306|164|NULL|
197155524|0|4|301|297|NULL|
197130161|0|3|311|136|1|
196209786|0|3|505|254|NULL|
196000259|0|4|226|112|NULL|
195997765|0|4|505|19|NULL|
195991280|0|1|25|141|NULL|
194769484|0|3|303|8|1|
194244224|0|3|222|133|NULL|
